word,count,language,articles
dreamatorium,27,latin,"three-dreams-in-one-ten-minute-period-at-3-in-the-morning-eeek.txt, astonishing-dream-idea-for-a-new-technology.txt, two-astonishing-dreams-in-one-night.txt"
Williamsburg,25,german,"eleanor-roosevelt-brooklyn-539east9.txt, emily-gould-friendship.txt, adelle-waldman-love-affairs-of-nathaniel-p.txt"
Salzberg,18,german,"cornell-english-caruth.txt, cornell-english-then-and-now-3b.txt, words-of-my-life-joint.htm"
Bette,12,french,"proverbs-for-a-latter-day.txt, another-brooklyn-memoirist-barry-manilow.txt, updikes-gamble.txt"
Antonius,7,latin,strange-flesh-1.txt
Demetrius,7,latin,"the_worst_perso.txt, a.txt"
Annapolis,6,greek,"trump-chaucer-etc.txt, words-of-my-life-joint.htm, roux-rue.htm"
Margarette,6,french,"books-i-read-2024.txt, words-of-my-life-joint.htm, roux-rue.htm"
Moreau,5,french,what_we_read_in_1.txt
Leonatus,5,latin,"locatives.txt, cym.txt, cymbeline.txt"
Rosenberg,5,german,"how-rupert-brooke-died.txt, lucinda-roanoke.txt, post.txt"
Tatum,4,latin,"amnesia.txt, amnesia-on-film-the-vow-2012.txt"
Goldberg,4,german,"more-p-s-217-19.txt, spellcheck_humo.txt, what-wondrous-life-is-this-i-lead.txt"
Oxenberg,4,german,"what_we_read_in_1-1.txt, reposted-salinger.txt"
millenium,3,latin,"dowdgod-1.txt, national-sword-association.txt, trains-planes-and-buses.txt"
Traviata,3,latin,la-traviata-updated.txt
Greenberg,3,german,"post.txt, more-p-s-217-19.txt, hessels.txt"
Nouveau,3,french,"a-blaguer-is-hi.txt, where-i-stand.txt, life-on-the-hill-1969-2009.txt"
Manlius,3,latin,"myteachersjameshutton.txt, the_clocks_of_r.txt"
Petersburg,3,german,"ukraine-shtetl.txt, if-someone-had.txt, pazyrykrug.txt"
Goetschius,3,latin,"biophilosophy.txt, my-teachers-1944-1956.txt"
Hirtius,2,latin,strange-flesh-1.txt
kufesque,2,french,more-new-words-.txt
Valerius,2,latin,"lydiamariachild.txt, the_clocks_of_r.txt"
schabraque,2,french,horsey-words.txt
Weinberg,2,german,"post.txt, more-p-s-217-19.txt"
glioblastoma,2,greek,"firlik-bezoars.txt, reposted-bezoars.txt"
Stroudsburg,2,german,"up-in-the-sky-e.txt, trains-planes-and-buses.txt"
mosquette,2,french,"a-blaguer-is-hi.txt, a-corner-in-ala.txt"
Colette,2,french,irene-nemirovsk.txt
Yvette,2,french,"post.txt, more-p-s-217-19.txt"
Oberg,2,german,"remembering.txt, bush.txt"
Thoreau,2,french,sleepers-1.txt
Minneapolis,2,greek,"jokic-zubac-embiid.txt, whats_the_deal_.txt"
Favereau,2,french,"tyrannosaurus-ted-williams-mongols-anemoia-.txt, what-i-read-2022.txt"
praestorium,2,latin,silly-dreams.txt
